split,model,method,kind,representation,sigma,pr_auc,roc_auc,youden_threshold,sensitivity,recall,precision,specificity,accuracy,f1,youden_j,best_C,best_cv_roc_auc,n_nonzero_coefs
rep1_fold3,Gaussian-smoothed + Functional logistic regression (L2) (sigma=2.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,2.0,0.793273607724237,0.9195834653151725,0.4371859296482412,0.8214285714285714,0.8214285714285714,0.7076923076923077,0.9157427937915743,0.8969804618117229,0.7603305785123967,0.7371713652201457,15.848931924611142,0.9189883460798086,343
rep1_fold3,Gaussian-smoothed + Functional logistic regression (L2) (sigma=4.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,4.0,0.7999962163533175,0.920395153626861,0.44221105527638194,0.8125,0.8125,0.7338709677419355,0.926829268292683,0.9040852575488455,0.7711864406779662,0.7393292682926829,15.848931924611142,0.920118841220761,343
rep1_fold3,Gaussian-smoothed + Functional logistic regression (L2) (sigma=6.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,6.0,0.7987505460133336,0.9217809629394995,0.4472361809045226,0.7946428571428571,0.7946428571428571,0.7355371900826446,0.9290465631929047,0.9023090586145648,0.7639484978540773,0.7236894203357618,15.848931924611142,0.9201439002828109,343
rep1_fold3,Raw + Functional linear SVM,Functional linear SVM,linear_svm,Raw spectra,0.0,0.7756560036089009,0.9151488755147292,0.5628140703517588,0.6607142857142857,0.6607142857142857,0.7956989247311828,0.9578713968957872,0.8987566607460036,0.7219512195121951,0.6185856826100729,15.848931924611142,0.9172224354837121,343
rep1_fold3,Gaussian-smoothed + Functional linear SVM (sigma=2.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,2.0,0.7788079098350291,0.9151884700665188,0.6080402010050251,0.6875,0.6875,0.8369565217391305,0.9667405764966741,0.911190053285968,0.7549019607843137,0.6542405764966741,15.848931924611142,0.9165651247358756,343
rep1_fold3,Gaussian-smoothed + Functional linear SVM (sigma=4.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,4.0,0.8014206786465294,0.9104569211276528,0.5175879396984925,0.6964285714285714,0.6964285714285714,0.8387096774193549,0.9667405764966741,0.9129662522202486,0.7609756097560976,0.6631691479252455,15.848931924611142,0.9153257055356322,343
rep1_fold3,Gaussian-smoothed + Functional linear SVM (sigma=6.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,6.0,0.8038600725341882,0.9093680709534369,0.49246231155778897,0.8303571428571429,0.8303571428571429,0.6940298507462687,0.9090909090909091,0.8934280639431617,0.7560975609756098,0.739448051948052,100.0,0.9159896200242695,343
rep1_fold4,Raw + Functional logistic regression (L2),Functional logistic regression (L2),logreg_l2,Raw spectra,0.0,0.8396417255611559,0.9427066835603422,0.4623115577889447,0.8482142857142857,0.8482142857142857,0.7480314960629921,0.9290465631929047,0.9129662522202486,0.7949790794979079,0.7772608489071904,100.0,0.912726819664544,343
rep1_fold4,Gaussian-smoothed + Functional logistic regression (L2) (sigma=2.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,2.0,0.8335883860449462,0.9412020905923345,0.46733668341708545,0.8392857142857143,0.8392857142857143,0.7642276422764228,0.9356984478935698,0.91651865008881,0.8,0.7749841621792841,15.848931924611142,0.9130263984915148,343
rep1_fold4,Gaussian-smoothed + Functional logistic regression (L2) (sigma=4.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,4.0,0.8394255078523947,0.9429838454228697,0.457286432160804,0.8482142857142857,0.8482142857142857,0.753968253968254,0.9312638580931264,0.9147424511545293,0.7983193277310925,0.7794781438074121,15.848931924611142,0.912966663512941,343
rep1_fold4,Gaussian-smoothed + Functional logistic regression (L2) (sigma=6.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,6.0,0.837507291862748,0.9425681026290783,0.4371859296482412,0.8482142857142857,0.8482142857142857,0.6985294117647058,0.9090909090909091,0.8969804618117229,0.7661290322580645,0.7573051948051948,15.848931924611142,0.912496592670621,343
rep1_fold4,Raw + Functional linear SVM,Functional linear SVM,linear_svm,Raw spectra,0.0,0.8048054696141855,0.9298780487804877,0.6231155778894473,0.9017857142857143,0.9017857142857143,0.5024875621890548,0.7782705099778271,0.8028419182948491,0.645367412140575,0.6800562242635415,15.848931924611142,0.9122565981665405,343
rep1_fold4,Gaussian-smoothed + Functional linear SVM (sigma=2.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,2.0,0.8045012163791854,0.9327486537852391,0.7386934673366834,0.6160714285714286,0.6160714285714286,0.8734177215189873,0.9778270509977827,0.9058614564831261,0.7225130890052356,0.5938984795692113,15.848931924611142,0.9114009241018762,343
