model,wavelength,weight_mean,weight_std
Gaussian-smoothed + Functional linear SVM (sigma=2.0),766.0,-2.2584007330130786,1.592335162428445
Gaussian-smoothed + Functional linear SVM (sigma=2.0),768.0,-1.039099101864508,1.2773733743318398
Gaussian-smoothed + Functional linear SVM (sigma=2.0),770.0,-0.058061972009749635,1.265941454624575
Gaussian-smoothed + Functional linear SVM (sigma=2.0),772.0,0.34516989464862197,1.3316806724860109
Gaussian-smoothed + Functional linear SVM (sigma=2.0),774.0,0.1544908458331144,1.2857120731102198
Gaussian-smoothed + Functional linear SVM (sigma=2.0),776.0,-0.3658286120371529,1.1788965405326275
Gaussian-smoothed + Functional linear SVM (sigma=2.0),778.0,-0.8209961565803126,1.1128117598517662
Gaussian-smoothed + Functional linear SVM (sigma=2.0),780.0,-0.8690561604737819,1.1018924363010352
Gaussian-smoothed + Functional linear SVM (sigma=2.0),782.0,-0.36985947535277863,1.165882394549116
Gaussian-smoothed + Functional linear SVM (sigma=2.0),784.0,0.5471710004624911,1.3699189810725882
Gaussian-smoothed + Functional linear SVM (sigma=2.0),786.0,1.5339181556257118,1.642369165928511
Gaussian-smoothed + Functional linear SVM (sigma=2.0),788.0,2.1843689761924217,1.79767653236154
Gaussian-smoothed + Functional linear SVM (sigma=2.0),790.0,2.2202120567369494,1.7172791617907597
Gaussian-smoothed + Functional linear SVM (sigma=2.0),792.0,1.6055664273002899,1.4341452455584396
Gaussian-smoothed + Functional linear SVM (sigma=2.0),794.0,0.5432865014045456,1.131866655774987
Gaussian-smoothed + Functional linear SVM (sigma=2.0),796.0,-0.6208920698729082,1.0260197893484595
Gaussian-smoothed + Functional linear SVM (sigma=2.0),798.0,-1.5292634077520995,1.069676806082213
Gaussian-smoothed + Functional linear SVM (sigma=2.0),800.0,-1.929862515825232,1.0508675562064793
Gaussian-smoothed + Functional linear SVM (sigma=2.0),802.0,-1.7594890492631772,0.9216844235361656
Gaussian-smoothed + Functional linear SVM (sigma=2.0),804.0,-1.1670741585843336,0.8270164183602678
Gaussian-smoothed + Functional linear SVM (sigma=2.0),806.0,-0.4579635949791271,0.907377093786625
Gaussian-smoothed + Functional linear SVM (sigma=2.0),808.0,0.030320671897859367,1.0802186557501319
Gaussian-smoothed + Functional linear SVM (sigma=2.0),810.0,0.06341205511723372,1.270422505501315
Gaussian-smoothed + Functional linear SVM (sigma=2.0),812.0,-0.41102951828442147,1.5284239294084931
Gaussian-smoothed + Functional linear SVM (sigma=2.0),814.0,-1.2638188400696273,1.8780023810977176
Gaussian-smoothed + Functional linear SVM (sigma=2.0),816.0,-2.2409568289661244,2.226757054333321
Gaussian-smoothed + Functional linear SVM (sigma=2.0),818.0,-3.0483301191476335,2.440657820787947
Gaussian-smoothed + Functional linear SVM (sigma=2.0),820.0,-3.437839327942927,2.434111263806065
Gaussian-smoothed + Functional linear SVM (sigma=2.0),822.0,-3.277109837816915,2.2167480818312995
Gaussian-smoothed + Functional linear SVM (sigma=2.0),824.0,-2.594511870574705,1.9090468592206153
Gaussian-smoothed + Functional linear SVM (sigma=2.0),826.0,-1.576785222965169,1.6943877995335643
Gaussian-smoothed + Functional linear SVM (sigma=2.0),828.0,-0.5037218107632143,1.6528840458907215
Gaussian-smoothed + Functional linear SVM (sigma=2.0),830.0,0.35654885324027374,1.672695554167917
Gaussian-smoothed + Functional linear SVM (sigma=2.0),832.0,0.8363529646177836,1.6280237857515916
Gaussian-smoothed + Functional linear SVM (sigma=2.0),834.0,0.9059136265825933,1.5031376444346007
Gaussian-smoothed + Functional linear SVM (sigma=2.0),836.0,0.6546710884586989,1.362461580485453
Gaussian-smoothed + Functional linear SVM (sigma=2.0),838.0,0.2420239556718702,1.2744040293939296
Gaussian-smoothed + Functional linear SVM (sigma=2.0),840.0,-0.15928531677455035,1.2507961738333113
Gaussian-smoothed + Functional linear SVM (sigma=2.0),842.0,-0.4105089831823435,1.2580068512414135
Gaussian-smoothed + Functional linear SVM (sigma=2.0),844.0,-0.43971118189797237,1.2670217952843854
Gaussian-smoothed + Functional linear SVM (sigma=2.0),846.0,-0.25867206580508123,1.265360442529288
Gaussian-smoothed + Functional linear SVM (sigma=2.0),848.0,0.0440926952253349,1.2381684829738127
Gaussian-smoothed + Functional linear SVM (sigma=2.0),850.0,0.3388211270148968,1.1697642833950543
Gaussian-smoothed + Functional linear SVM (sigma=2.0),852.0,0.5042423172257078,1.073910489789301
Gaussian-smoothed + Functional linear SVM (sigma=2.0),854.0,0.46912692453624144,1.0138721134859108
Gaussian-smoothed + Functional linear SVM (sigma=2.0),856.0,0.23109594833434055,1.053775839031121
Gaussian-smoothed + Functional linear SVM (sigma=2.0),858.0,-0.1505056920670488,1.168034313372207
Gaussian-smoothed + Functional linear SVM (sigma=2.0),860.0,-0.5795064512887671,1.2666943341420849
Gaussian-smoothed + Functional linear SVM (sigma=2.0),862.0,-0.9509761499369733,1.284326117492459
Gaussian-smoothed + Functional linear SVM (sigma=2.0),864.0,-1.1750636879759737,1.217221924114733
Gaussian-smoothed + Functional linear SVM (sigma=2.0),866.0,-1.1978595723812984,1.127226348288009
Gaussian-smoothed + Functional linear SVM (sigma=2.0),868.0,-1.0151892544075722,1.1051260202127533
Gaussian-smoothed + Functional linear SVM (sigma=2.0),870.0,-0.6720353520132377,1.1738435116900467
Gaussian-smoothed + Functional linear SVM (sigma=2.0),872.0,-0.2495660521179279,1.258954137197476
Gaussian-smoothed + Functional linear SVM (sigma=2.0),874.0,0.1602784179779732,1.2811470469952293
Gaussian-smoothed + Functional linear SVM (sigma=2.0),876.0,0.484843403174592,1.2204907974004782
Gaussian-smoothed + Functional linear SVM (sigma=2.0),878.0,0.6870501832437668,1.111867559715533
Gaussian-smoothed + Functional linear SVM (sigma=2.0),880.0,0.7678998265186298,1.0085092212859033
Gaussian-smoothed + Functional linear SVM (sigma=2.0),882.0,0.755676401220564,0.9363858579806943
Gaussian-smoothed + Functional linear SVM (sigma=2.0),884.0,0.6889976894367014,0.8831247132372724
Gaussian-smoothed + Functional linear SVM (sigma=2.0),886.0,0.6022308895604196,0.8400837579176965
