wavelength,mean_non_binary_raw,mean_binary_raw,mean_non_binary_l2,mean_binary_l2,difference_binary_minus_non_binary_l2
606.0,7.314492497115116e-17,4.362887794593466e-17,0.028724533461639404,0.03427710902203451,0.005552575560395109
608.0,7.227284281775435e-17,4.320592108305108e-17,0.028409399973705732,0.03395500236517497,0.005545602391469239
610.0,7.130720198819777e-17,4.2730948578828926e-17,0.02805735027349267,0.03359347736246723,0.005536127088974562
612.0,7.030115837395771e-17,4.2233596766633546e-17,0.027687731145493586,0.03321602239606835,0.0055282912505747635
614.0,6.924738594826907e-17,4.1707004808803025e-17,0.027296218359594667,0.03281724666848831,0.005521028308893641
616.0,6.81650633151062e-17,4.1160017945450324e-17,0.026889128732734496,0.032403889386430414,0.005514760653695917
618.0,6.718997888435941e-17,4.067238674536854e-17,0.026519180766891273,0.03203839621022226,0.005519215443330987
620.0,6.603609469970506e-17,4.0069102650452425e-17,0.026073024123714227,0.03158244636597297,0.005509422242258741
622.0,6.512007159023721e-17,3.960142470913318e-17,0.02571507539843694,0.031233510418830383,0.0055184350203934425
624.0,6.465677067401786e-17,3.940042257271973e-17,0.025530463588385125,0.031094692262635785,0.00556422867425066
626.0,6.421196946783323e-17,3.9202458903407243e-17,0.025348194270520038,0.030957719180928583,0.005609524910408545
628.0,6.389057192283062e-17,3.90719540045754e-17,0.025210287879294736,0.030873056883438225,0.005662769004143489
630.0,6.365162852451502e-17,3.89848430137681e-17,0.025101273266936855,0.030821405562513518,0.005720132295576663
632.0,6.330664426669276e-17,3.8826684680993136e-17,0.02494758469068446,0.03071199947743747,0.005764414786753009
634.0,6.301776824903299e-17,3.86980004593538e-17,0.02481394541414546,0.030624084651237563,0.005810139237092102
636.0,6.258024823146259e-17,3.842517132542985e-17,0.024574644751644868,0.030381734262402288,0.00580708951075742
638.0,6.172695798325826e-17,3.799930798402366e-17,0.024232172286484683,0.02999780860026416,0.005765636313779476
640.0,6.066967205178038e-17,3.756011541207163e-17,0.023889897753514605,0.02961893709173227,0.005729039338217664
642.0,6.020577052127923e-17,3.742571442977271e-17,0.023769836965111073,0.029495594524279578,0.005725757559168505
644.0,5.898994691801415e-17,3.659437502929971e-17,0.02325048157332579,0.028859914782682797,0.005609433209357008
646.0,5.762088006100689e-17,3.5582030805426486e-17,0.022609640559788882,0.028098246332943073,0.0054886057731541905
648.0,5.665586683033849e-17,3.495552308635881e-17,0.02215785223414104,0.02762749725917366,0.0054696450250326205
650.0,5.585010804888497e-17,3.463547227330924e-17,0.021826117207495718,0.027380569253792907,0.00555445204629719
652.0,5.468795540920838e-17,3.424045084688504e-17,0.021395195265574447,0.02705853802241618,0.005663342756841733
654.0,5.3180623309637413e-17,3.363264743462505e-17,0.02083280668575763,0.02656196496126809,0.00572915827551046
656.0,5.174765658856093e-17,3.2935105201429474e-17,0.020276531225451054,0.026001330254385925,0.005724799028934871
658.0,5.0961705380892954e-17,3.245493025909003e-17,0.019951216709104134,0.025630398703438424,0.00567918199433429
660.0,5.108648409608603e-17,3.241625694175205e-17,0.01998388146387267,0.025629810169850116,0.005645928705977445
662.0,5.1803952849368575e-17,3.273781501556323e-17,0.02027648855363985,0.025929928698193865,0.005653440144554014
664.0,5.2473169872047274e-17,3.311617112936709e-17,0.020587015457188555,0.026279503851586318,0.0056924883943977635
666.0,5.253202883316017e-17,3.3222542324489054e-17,0.020679982751509215,0.026406453129090054,0.005726470377580839
668.0,5.1998763731257067e-17,3.301777807239032e-17,0.02053326564885994,0.026272300089367196,0.005739034440507256
670.0,5.1167538282939254e-17,3.260695513133649e-17,0.020237074672902006,0.025958670714988388,0.005721596042086382
672.0,5.034098438401733e-17,3.21268393517797e-17,0.01990291385633132,0.02557695718123525,0.00567404332490393
674.0,4.9774176545828484e-17,3.174394212197556e-17,0.01964513738778621,0.025265018387950516,0.005619881000164306
676.0,4.963373526141752e-17,3.161949731518503e-17,0.019555377522594074,0.025157080956317357,0.0056017034337232825
678.0,4.9474484911848867e-17,3.1534650272767257e-17,0.01948093000005205,0.02508377842087906,0.005602848420827009
680.0,4.909910914867627e-17,3.13958043864904e-17,0.019352528926427155,0.02497353707583874,0.005621008149411584
682.0,4.844349595491137e-17,3.1143835488484316e-17,0.019136931862458316,0.024780218827144155,0.005643286964685839
684.0,4.7556523215810524e-17,3.0755094124617504e-17,0.01883549550949643,0.024484220845339796,0.005648725335843367
686.0,4.6713236283734726e-17,3.03486145760137e-17,0.01853914077395501,0.02417823848872299,0.00563909771476798
688.0,4.6152455429436646e-17,3.00510151813142e-17,0.018333156225158614,0.02396059803952498,0.005627441814366366
690.0,4.585695661851694e-17,2.986483027340467e-17,0.018212274505556614,0.02383127491820659,0.005619000412649976
692.0,4.560556816109224e-17,2.968749553786225e-17,0.01809775994665866,0.02370762266345207,0.0056098627167934095
694.0,4.53878536526113e-17,2.9553035952249335e-17,0.017995831915996997,0.02361739187006475,0.0056215599540677536
696.0,4.4902998298478774e-17,2.9283170600392113e-17,0.017794023923139786,0.023419285695470606,0.00562526177233082
698.0,4.422573580984775e-17,2.8916299289763293e-17,0.017524116946856613,0.02314432478114186,0.005620207834285247
700.0,4.34784095125272e-17,2.850673470581977e-17,0.017233451578483515,0.022834667426917546,0.005601215848434031
702.0,4.299180793357983e-17,2.825020150898127e-17,0.017051035080365862,0.022644381555240976,0.005593346474875114
704.0,4.261136843348837e-17,2.8042169819400945e-17,0.016913979345111758,0.02248690009243125,0.005572920747319493
706.0,4.239906842340363e-17,2.7937988590788095e-17,0.016845874829531864,0.022405410980518677,0.005559536150986814
708.0,4.225223533823057e-17,2.7890582688672937e-17,0.01680504585516534,0.02236380584247131,0.0055587599873059695
710.0,4.186066863078213e-17,2.770658038375221e-17,0.016666677118389362,0.022211249006287563,0.005544571887898201
712.0,4.12547989199177e-17,2.739989985481538e-17,0.016440889580659354,0.021964228035681824,0.00552333845502247
714.0,4.0543962677145166e-17,2.7023136301914004e-17,0.016169575220142323,0.021669123498529366,0.0054995482783870425
716.0,3.992827058916603e-17,2.6687652487679604e-17,0.015931885225850418,0.021416502335251192,0.005484617109400774
718.0,3.949841149145321e-17,2.6442998103324873e-17,0.015764561503465824,0.02124378809795886,0.005479226594493035
720.0,3.919952055935631e-17,2.6258581408489795e-17,0.015646943828826143,0.021121310759125853,0.00547436693029971
722.0,3.914853753612013e-17,2.6232360460765794e-17,0.01562677495126574,0.02112228401337084,0.005495509062105101
724.0,3.8962540890940506e-17,2.6129346869686235e-17,0.015551501053012586,0.021053763919786285,0.005502262866773699
726.0,3.863310932114723e-17,2.595553160332532e-17,0.015417422752484745,0.020919670711186358,0.005502247958701613
728.0,3.822925144398168e-17,2.5753820989419816e-17,0.015251823452788811,0.020756557456725416,0.005504734003936605
730.0,3.765642910521741e-17,2.5445104617706283e-17,0.015017620901950378,0.02050413419314802,0.005486513291197641
732.0,3.7035439017192546e-17,2.5092252990117147e-17,0.01476480826944014,0.02021647710948939,0.0054516688400492504
734.0,3.655847347857102e-17,2.4814507172151733e-17,0.01457235738496262,0.019991794550251695,0.005419437165289075
736.0,3.632632827870316e-17,2.468285301088449e-17,0.014482239536053388,0.019887836261793666,0.005405596725740277
738.0,3.615608915916268e-17,2.4586768541222225e-17,0.01442189038842706,0.019815087486746295,0.005393197098319235
740.0,3.598463449764663e-17,2.450073635757385e-17,0.014364848702015386,0.01975239666670406,0.005387547964688672
742.0,3.5753773325320873e-17,2.4397656023929384e-17,0.014285654806682478,0.019677923495735494,0.0053922686890530164
744.0,3.533410420969194e-17,2.4191205378415322e-17,0.014130479792163409,0.019522693869899212,0.005392214077735803
746.0,3.4800674279019794e-17,2.392366307127902e-17,0.013928188761083113,0.01932149651064343,0.005393307749560318
748.0,3.4208033215128106e-17,2.3617276224160004e-17,0.013700793899757004,0.019092170195802314,0.00539137629604531
750.0,3.37675695256953e-17,2.3403712391753128e-17,0.013533963731108671,0.018939668460302008,0.005405704729193337
752.0,3.3394502995552395e-17,2.32169064990393e-17,0.013394550239349101,0.01880782495381457,0.005413274714465469
754.0,3.321828831823923e-17,2.3147849351542888e-17,0.013334156639194,0.018767155953723115,0.005432999314529115
756.0,3.302237888241909e-17,2.3052968045519686e-17,0.013264191911401603,0.01869892888559878,0.005434736974197175
758.0,3.285014126897336e-17,2.2970504225325164e-17,0.013199578645553347,0.018633538950824674,0.005433960305271327
760.0,3.2620726547680434e-17,2.2848464626086642e-17,0.013105818416356392,0.018530316772078996,0.005424498355722604
762.0,3.2224921420184086e-17,2.2609313169349867e-17,0.01293872808516492,0.018329547522052434,0.005390819436887514
764.0,3.178938785569709e-17,2.233714669493341e-17,0.012751332687191629,0.018103272839490963,0.005351940152299334
766.0,3.1403226806814365e-17,2.2090422031474597e-17,0.012583625789551089,0.017902149023103008,0.0053185232335519195
768.0,3.109696287057309e-17,2.1890697748536872e-17,0.012452866298542765,0.01774538322897229,0.005292516930429524
770.0,3.0965712954622077e-17,2.1810721876804806e-17,0.012401072963067169,0.01769173150511087,0.0052906585420437
772.0,3.083494147053975e-17,2.1737318655966337e-17,0.01235953544438904,0.017647487470490598,0.005287952026101557
774.0,3.068936629435641e-17,2.1669092164539636e-17,0.012319859147161265,0.01760863499687873,0.0052887758497174656
776.0,3.0514265813909117e-17,2.160032661575067e-17,0.012271180470254453,0.01756785599631814,0.005296675526063686
778.0,3.022999374748243e-17,2.1471946026542648e-17,0.012175528935532053,0.017475366697970576,0.005299837762438524
780.0,2.9831891041702585e-17,2.1270620074385788e-17,0.01202603690194185,0.017319736189854454,0.005293699287912604
782.0,2.931008320546067e-17,2.0975222335124667e-17,0.011816453492228667,0.017084204867950092,0.0052677513757214255
784.0,2.890517058102716e-17,2.0745297879339516e-17,0.011645045545932835,0.016899765474341424,0.005254719928408589
786.0,2.855651686683807e-17,2.0531402092594537e-17,0.011491668740701639,0.016727290190135868,0.005235621449434229
788.0,2.831082762986616e-17,2.036956186836421e-17,0.011380943719677534,0.01659698539574398,0.005216041676066447
790.0,2.817960216353209e-17,2.0278464949805787e-17,0.011322644048969205,0.016524567788643092,0.005201923739673887
792.0,2.80773532667711e-17,2.0210655062657806e-17,0.011285074083541905,0.016471623747020537,0.005186549663478632
794.0,2.79801778759321e-17,2.0161077565243645e-17,0.011257998398329722,0.016434300803127987,0.005176302404798265
796.0,2.780690662875339e-17,2.0077047245110105e-17,0.011205305743837466,0.016370113142389158,0.005164807398551692
798.0,2.7477013729592856e-17,1.989788913416623e-17,0.011089579962133176,0.016230196260431963,0.005140616298298787
800.0,2.709615218266233e-17,1.96906626580052e-17,0.01094879829969561,0.016069784388043486,0.005120986088347877
802.0,2.6644648676318698e-17,1.9428911261086196e-17,0.010772300219447278,0.015867439792289065,0.005095139572841786
804.0,2.6206314392799053e-17,1.9163234210266833e-17,0.010593963612833927,0.01566390982429682,0.005069946211462891
806.0,2.5909041257877588e-17,1.8982832049695868e-17,0.010468103224932678,0.015530843945199132,0.005062740720266454
808.0,2.5677881542776898e-17,1.883606912541506e-17,0.010368609144903724,0.015424276194812488,0.005055667049908764
810.0,2.5517804326003505e-17,1.873583555053264e-17,0.010301746923456223,0.015352952206987439,0.0050512052835312155
812.0,2.540755817457913e-17,1.8678356481883154e-17,0.010261769298712099,0.015312581546944252,0.005050812248232154
814.0,2.5194294093449416e-17,1.8560935533943552e-17,0.010187429506442035,0.015218789978360158,0.005031360471918123
816.0,2.50444730871835e-17,1.851015725891866e-17,0.01014411995790193,0.015176358194437798,0.005032238236535869
818.0,2.474115139919685e-17,1.8362700556230063e-17,0.010040420860074045,0.015053352681682475,0.005012931821608431
820.0,2.4412595245967292e-17,1.8203511074312955e-17,0.009923993579826517,0.014921884727241435,0.004997891147414918
822.0,2.3996468861619978e-17,1.7972618271251156e-17,0.009765828166191077,0.014735079906713007,0.004969251740521929
824.0,2.36144630281553e-17,1.774801047663307e-17,0.009613417833720125,0.014558296076198926,0.004944878242478801
826.0,2.3361465625343487e-17,1.759323133169945e-17,0.009505650402395692,0.014443752254334767,0.004938101851939075
828.0,2.319313760632862e-17,1.7474560618321687e-17,0.009426791678128295,0.014362434669523671,0.004935642991395376
830.0,2.3099614087046714e-17,1.7391692436738758e-17,0.009376480388677269,0.01431153166393932,0.004935051275262052
832.0,2.308034142574377e-17,1.735651682832881e-17,0.009358297196746255,0.014297769946689205,0.00493947274994295
834.0,2.302413313420815e-17,1.7298948414596958e-17,0.009330030407322942,0.014260670596524867,0.004930640189201925
836.0,2.2950532794474212e-17,1.7244280167452346e-17,0.00930083858016172,0.014219323545470345,0.0049184849653086254
838.0,2.2874747069812175e-17,1.7208691300390852e-17,0.009276317717848448,0.014186779909368905,0.004910462191520457
840.0,2.262819989514438e-17,1.7063274822905422e-17,0.009186084600197621,0.014057967659995613,0.004871883059797992
842.0,2.234347159956726e-17,1.6899750292025047e-17,0.009081080677434013,0.013910976498773112,0.004829895821339098
844.0,2.190920996223527e-17,1.6622488673947678e-17,0.008913260113235932,0.013670337043354191,0.004757076930118259
846.0,2.1648280961036555e-17,1.6465351096883326e-17,0.00881200260503265,0.01353164174958358,0.00471963914455093
848.0,2.1423908563533494e-17,1.6317656428631798e-17,0.008721065933039346,0.013406317123394759,0.004685251190355413
850.0,2.1279158469430974e-17,1.6210781054366955e-17,0.008658718612218464,0.01332145680530216,0.004662738193083696
852.0,2.1130945591835603e-17,1.608631431582918e-17,0.008592989283432858,0.01322885910168584,0.004635869818252982
854.0,2.10795701168968e-17,1.6030201957482618e-17,0.00856698459012182,0.013197626505648331,0.004630641915526512
856.0,2.103919757035596e-17,1.598835200882273e-17,0.008547862238707384,0.013180885590516637,0.004633023351809254
858.0,2.1009151412466304e-17,1.5970031603874572e-17,0.008536639882041556,0.013183659719876143,0.004647019837834587
860.0,2.087192879392136e-17,1.5891603340925185e-17,0.008485804986765195,0.013134606717119697,0.004648801730354502
862.0,2.0643495742119973e-17,1.576526334471304e-17,0.008401001471500493,0.013042174649864688,0.004641173178364195
864.0,2.039520403250503e-17,1.564034040803177e-17,0.008309685867270461,0.01294663119949548,0.004636945332225018
866.0,2.0112698912981162e-17,1.5497048397616062e-17,0.008204161889271767,0.012832049263920283,0.004627887374648516
